X,Y,id,id_punto,est,nord,quota orot,info,note,materiale,diametro,material_1,h pozzetto,dimensione,foto-1,foto-2,foto-3,icon_url
14.2214772316667,41.541611765,"3146","1046",435063.699180389,4599176.52001052,583.972,IDRICO,,,,,,,,,,./2.png
14.221368485,41.5417637983333,"3147","1045",435054.780717784,4599193.48068224,584.72,IDRICO,,,,,,,,,,./2.png
14.2213193083333,41.54181683,"3148","1044",435050.731955924,4599199.40529284,586.53,LUCE,,,,,,,,,,./1.png
14.2224230556337,41.5424056531251,"3149","929",435143.383906329,4599263.94794581,567.387,LUCE,,,,,,,,,,./1.png
14.2223877296159,41.5422063822893,"3150","768",435140.238256668,4599241.85117356,568.666,LUCE,,,,,,,,,,./1.png
14.20498004,41.559366195,"3151","632",433705.806082271,4601160.17397416,408.019,IDRICO,,Polietilene,"10",Polietilene,70,80x80,DCIM/pozzetti_20230626141052387.JPG,DCIM/pozzetti_20230626141124567.JPG,DCIM/pozzetti_20230626141139244.JPG,./2.png
14.2082669933333,41.5582184466667,"3152","1065",433978.728660906,4601030.2311526,391.794,IDRICO,,Polietilene,"15",Polietilene,90,160x160,DCIM/pozzetti_20230626134004724.JPG,DCIM/pozzetti_20230626134027304.JPG,DCIM/pozzetti_20230626134048546.JPG,./2.png
14.2238675333333,41.5457484366666,"3153","1064",435267.200929646,4599633.98456696,538.556,IDRICO,,,,,,,,,,./2.png
14.2238541766667,41.5457496583333,"3154","1063",435266.088136239,4599634.13020695,538.674,FOGNA,,,,,,,,,,./0.png
14.2239434683333,41.545461605,"3155","1062",435273.248205044,4599602.08324615,529.929,FOGNA,,,,,,,,,,./0.png
14.2239299833333,41.5455800383333,"3156","1061",435272.24160879,4599615.24197141,532.268,FOGNA,,,,,,,,,,./0.png
14.2239329016667,41.5455713966666,"3157","1060",435272.476393745,4599614.28037575,532.215,FOGNA,,,,,,,,,,./0.png
